Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical,Target
3.083989810707054441e-02,7.092617186699197440e-02,6.905899518481650734e-01,6.308074300959740088e-03,6.730196774005889893e-01,5.207300335168838501e-01,3.170000016689300537e-01,1.087963757042321955e+00,1.077767294375861606e+00,8.083984410954370148e-01,1.087963757042321955e+00,8.083984410954370148e-01,7.000000000000000000e+00
1.854238415546586097e-02,6.491318009726275429e-02,6.016763585086097876e-01,4.675622101600047757e-03,6.675364971160888672e-01,5.274302661418914795e-01,3.170000016689300537e-01,1.067118558021172614e+00,1.086768373736757276e+00,8.832827605874675747e-01,1.086768373736757276e+00,8.832827605874675747e-01,7.000000000000000000e+00
1.967052316794414002e-02,5.797788724442347330e-02,5.597784384689136195e-01,4.357610414559464490e-03,6.689719557762145996e-01,5.208604186773300171e-01,3.170000016689300537e-01,9.713825323672224954e-01,9.762419897223039156e-01,7.779482331422847841e-01,9.762419897223039156e-01,7.779482331422847841e-01,7.000000000000000000e+00
2.248260851388602516e-02,6.784463442604130035e-02,6.525975112076549678e-01,5.478913850101053973e-03,6.719412505626678467e-01,5.245814621448516846e-01,3.170000016689300537e-01,9.206623038665447956e-01,8.939657143649136772e-01,8.175243324504593012e-01,9.206623038665447956e-01,8.175243324504593012e-01,7.000000000000000000e+00
2.424465056960756898e-02,7.127359845473880962e-02,6.571394926903555422e-01,5.234262986888148401e-03,6.697899103164672852e-01,5.267301797866821289e-01,3.170000016689300537e-01,1.106045720945870725e+00,1.101602848243107058e+00,8.768746978040908857e-01,1.106045720945870725e+00,8.768746978040908857e-01,7.000000000000000000e+00
3.067028916325149554e-02,7.145529700299411979e-02,6.592717791770080771e-01,5.755905256283897278e-03,6.718463599681854248e-01,5.282488763332366943e-01,3.180000483989715576e-01,1.016500833031732665e+00,1.005407829422212407e+00,8.724831283332482590e-01,1.016500833031732665e+00,8.724831283332482590e-01,7.000000000000000000e+00
2.994005672455694531e-02,6.935429616422311705e-02,6.539023759811343206e-01,5.837456846369386450e-03,6.697899103164672852e-01,5.304641425609588623e-01,3.170000016689300537e-01,1.104720358924934143e+00,1.104311734443325976e+00,8.488787995418847210e-01,1.104720358924934143e+00,8.488787995418847210e-01,7.000000000000000000e+00
3.214715014596378900e-02,7.319433795584219526e-02,6.956801886701976523e-01,6.299129967386648751e-03,6.723855733871459961e-01,5.304641425609588623e-01,3.180000483989715576e-01,1.111778399591554223e+00,1.114002730269253449e+00,8.488372863327708906e-01,1.114002730269253449e+00,8.488372863327708906e-01,7.000000000000000000e+00
3.043112792008976011e-02,7.341252807808602843e-02,7.143215934059681249e-01,6.271837239014825885e-03,6.713109612464904785e-01,5.278395712375640869e-01,3.170000016689300537e-01,1.023070457437027958e+00,1.003901537427443369e+00,7.834697589900462278e-01,1.023070457437027958e+00,7.834697589900462278e-01,7.000000000000000000e+00
9.639978217181278605e-03,6.863941830608957795e-02,5.960091090208426978e-01,4.750878067524356811e-03,6.639880239963531494e-01,5.142758637666702271e-01,3.170000016689300537e-01,6.999548552763301679e-01,6.749552620904981648e-01,6.096523298879283903e-01,6.999548552763301679e-01,6.096523298879283903e-01,7.000000000000000000e+00
2.169755493806608398e-02,5.708408781478818000e-02,5.600297404845948623e-01,4.727214090135397825e-03,6.631120443344116211e-01,5.142475813627243042e-01,3.170000016689300537e-01,1.001152829541199107e+00,1.008792809622419018e+00,7.948311841051846072e-01,1.008792809622419018e+00,7.948311841051846072e-01,7.000000000000000000e+00
2.546907693077048174e-02,7.088039492816061715e-02,6.309328376173285458e-01,5.304232773048326612e-03,6.662362813949584961e-01,5.161950886249542236e-01,3.170000016689300537e-01,1.045231197988932825e+00,1.055014128694341968e+00,8.398743777806476629e-01,1.055014128694341968e+00,8.398743777806476629e-01,7.000000000000000000e+00
2.994264960451984217e-02,7.254933968883636730e-02,6.413593954077393411e-01,5.519827293983936740e-03,6.664172410964965820e-01,5.187212675809860229e-01,3.170000016689300537e-01,1.044918052428192468e+00,1.037831184335674006e+00,8.512229401208337709e-01,1.044918052428192468e+00,8.512229401208337709e-01,7.000000000000000000e+00
3.161780032141617985e-02,7.395794731082275253e-02,6.670407662486237399e-01,5.874847060565664345e-03,6.669072508811950684e-01,5.128037780523300171e-01,3.170000016689300537e-01,9.424993246282927783e-01,9.288413002378183014e-01,7.252980432893758600e-01,9.424993246282927783e-01,7.252980432893758600e-01,7.000000000000000000e+00
3.094087393718462226e-02,7.478306233550244264e-02,6.676803498911678680e-01,5.942796758775329216e-03,6.668106615543365479e-01,5.184558182954788208e-01,3.170000016689300537e-01,8.069124871500613638e-01,7.702712110144799285e-01,6.354574440501619126e-01,8.069124871500613638e-01,6.354574440501619126e-01,7.000000000000000000e+00
3.323352546978030481e-02,7.674120557427561995e-02,7.122548944186642972e-01,6.338252092409593814e-03,6.691943407058715820e-01,5.191784501075744629e-01,3.170000016689300537e-01,1.088558572066597119e+00,1.106945799604892144e+00,8.207673363933806199e-01,1.106945799604892144e+00,8.207673363933806199e-01,7.000000000000000000e+00
3.375023863887405273e-02,7.419127116891895135e-02,6.922237497881505996e-01,6.299407201262491839e-03,6.691943407058715820e-01,5.191784501075744629e-01,3.179999887943267822e-01,1.042163692615585058e+00,1.064592763753367644e+00,8.161906998525344514e-01,1.064592763753367644e+00,8.161906998525344514e-01,7.000000000000000000e+00
