Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.089129303866774034e-01,7.883481532469041597e-02,6.809939834153472260e-01,2.127292960690654877e-02,9.645297378301620483e-02,2.002200223505496979e-01,4.600000381469726562e-02,1.000160146126241878e-01,2.038755546269130081e-01,6.498859295842884798e-02,2.038755546269130081e-01,6.498859295842884798e-02
1.279174839114010365e-01,8.017150598810511564e-02,6.669645454100922022e-01,2.074919187567182688e-02,7.795445155352354050e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.858259843330665795e-02,1.992559540141366770e-01,5.655516713964903186e-02,1.992559540141366770e-01,5.655516713964903186e-02
1.300454848714210909e-01,8.067347479128954280e-02,6.682176184652802720e-01,2.083371181969042099e-02,7.795445155352354050e-02,1.982537098228931427e-01,4.500001668930053711e-02,7.894831691971312959e-02,1.994748245985559776e-01,5.745313716194588860e-02,1.994748245985559776e-01,5.745313716194588860e-02
1.206253693941185395e-01,8.371194487927931249e-02,6.729172597907812081e-01,2.087034244378730211e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.600000381469726562e-02,7.973455315790393960e-02,1.994805933265434983e-01,5.277203795046103707e-02,1.994805933265434983e-01,5.277203795046103707e-02
1.187914003637240562e-01,8.423541352351474054e-02,6.739559490912596651e-01,2.085987043677823768e-02,7.788712903857231140e-02,1.975615099072456360e-01,4.699999094009399414e-02,7.991776584436849351e-02,1.998401821789564381e-01,5.185511606260817530e-02,1.998401821789564381e-01,5.185511606260817530e-02
1.198953656935104056e-01,8.209127146988173807e-02,6.692043949777286560e-01,2.085369377711985064e-02,7.963970676064491272e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.416386983833380742e-02,2.022796386583144979e-01,5.284303310315696667e-02,2.022796386583144979e-01,5.284303310315696667e-02
1.202903124921871625e-01,8.146716774920151338e-02,6.701286084465484238e-01,2.081961057426368056e-02,7.963970676064491272e-02,1.983480229973793030e-01,4.699999094009399414e-02,8.404383413491239851e-02,2.021109294996820682e-01,5.411026459328027727e-02,2.021109294996820682e-01,5.411026459328027727e-02
1.075549976122129048e-01,8.479839327756526213e-02,6.824903753990547717e-01,2.093765478248751227e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.256540202618030400e-02,2.015604558521614520e-01,5.666115004421246049e-02,2.015604558521614520e-01,5.666115004421246049e-02
1.084808311043426177e-01,8.459168638120269368e-02,6.816575656943800743e-01,2.090727550476785893e-02,7.824811432510614395e-02,1.979547664523124695e-01,4.499998688697814941e-02,8.132754483623594322e-02,2.007585562678274038e-01,5.524547058158957302e-02,2.007585562678274038e-01,5.524547058158957302e-02
1.228853844083034469e-01,8.226739791946088842e-02,6.737933807661816710e-01,2.095200288608624339e-02,7.821155991405248642e-02,1.967749819159507751e-01,4.300001263618469238e-02,8.299799978710445392e-02,2.005789207108177041e-01,5.140628605714869792e-02,2.005789207108177041e-01,5.140628605714869792e-02
1.221192734705614374e-01,8.193463744100513979e-02,6.722821712431710228e-01,2.088754655372026398e-02,7.821155991405248642e-02,1.967749819159507751e-01,4.300001263618469238e-02,8.395981817976302941e-02,2.011593909031361704e-01,5.163994368287894154e-02,2.011593909031361704e-01,5.163994368287894154e-02
1.157825405704804300e-01,8.430883373551292803e-02,6.716109472685984905e-01,2.117418604712343819e-02,7.837927527725696564e-02,1.972625479102134705e-01,4.500001668930053711e-02,8.339255424673752692e-02,2.010603433508083848e-01,5.599751807992792152e-02,2.010603433508083848e-01,5.599751807992792152e-02
1.147921469579546994e-01,8.408736046979498058e-02,6.721978254282762189e-01,2.113766073616290750e-02,7.837927527725696564e-02,1.972625479102134705e-01,4.500001668930053711e-02,8.323169795455991060e-02,2.009740526398180460e-01,5.527297712250978101e-02,2.009740526398180460e-01,5.527297712250978101e-02
1.130270345730153558e-01,8.358096822829176598e-02,6.811131874195157643e-01,2.098729710795002243e-02,7.667970098555088043e-02,1.978604532778263092e-01,4.600000381469726562e-02,7.786961659086608090e-02,1.984205380613788816e-01,5.267592847527291511e-02,1.984205380613788816e-01,5.267592847527291511e-02
1.117691952797066068e-01,8.363034677930263061e-02,6.800168825949952645e-01,2.099016834724150293e-02,7.667970098555088043e-02,1.978604532778263092e-01,4.600000381469726562e-02,8.145254161457510245e-02,1.990239797766499286e-01,5.311512132458873214e-02,1.990239797766499286e-01,5.311512132458873214e-02
1.191688708383204370e-01,7.906296053602643314e-02,6.670285465135457059e-01,2.086521368437600429e-02,7.890979573130607605e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.045591936933246813e-02,1.991808531695591911e-01,5.481025434706099375e-02,1.991808531695591911e-01,5.481025434706099375e-02
1.190113775255265821e-01,7.891258612352383683e-02,6.703290179309774333e-01,2.071892217834045077e-02,7.890979573130607605e-02,1.975615099072456360e-01,4.499998688697814941e-02,8.135647140762493346e-02,1.998328276691866690e-01,5.405268137439289688e-02,1.998328276691866690e-01,5.405268137439289688e-02
