Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.164518104339701682e-01,7.841713226685793903e-02,5.940284837902918280e-01,1.183337241524642924e-02,1.145487576723098755e-01,2.051277682185173035e-01,2.640000283718109131e-01,1.803442887286799690e-01,2.414502553198905332e-01,2.910199718053883555e-01,2.910199718053883555e-01,1.803442887286799690e-01
1.195434860638016766e-01,8.062919641127920534e-02,5.908721118015315410e-01,1.193345656460136420e-02,1.150812581181526184e-01,2.051277682185173035e-01,4.399999976158142090e-02,1.348191619045898682e-01,2.177142959369672559e-01,7.335414606275880711e-02,2.177142959369672559e-01,7.335414606275880711e-02
1.280184658133524389e-01,7.655380728385857703e-02,5.894413338109499856e-01,1.212111383629215292e-02,7.663398329168558121e-02,1.978604532778263092e-01,4.600000381469726562e-02,7.716676122959478801e-02,1.986891119174982179e-01,5.192445925503752502e-02,1.986891119174982179e-01,5.192445925503752502e-02
1.220953681191615237e-01,7.715072268861375426e-02,6.118157784426311308e-01,1.218375301289842914e-02,7.703855540603399277e-02,1.974671967327594757e-01,4.399999976158142090e-02,8.262737471255021671e-02,1.986250975943534280e-01,5.569833291422676691e-02,1.986250975943534280e-01,5.569833291422676691e-02
1.265896661102501597e-01,7.599497055485304742e-02,5.753456607679431345e-01,1.204271817228958451e-02,1.157749220728874207e-01,2.046401873230934143e-01,2.640000283718109131e-01,2.814204971261343169e-01,2.372186307418186479e-01,2.980855371363980710e-01,2.980855371363980710e-01,2.372186307418186479e-01
1.320532066481627798e-01,7.957568845197397767e-02,5.902816127960355264e-01,1.239081376876736626e-02,1.168381087481975555e-01,2.035666741430759430e-01,4.699999094009399414e-02,1.480833407170178695e-01,2.244160658953160414e-01,8.196439501801988659e-02,2.244160658953160414e-01,8.196439501801988659e-02
1.274277932872197039e-01,7.614540524961101176e-02,6.191428959966864820e-01,1.488863979085674159e-02,1.428772062063217163e-01,2.037593759596347809e-01,4.800000786781311035e-02,1.584177584547573070e-01,2.136712544651069301e-01,8.343314947702240580e-02,2.136712544651069301e-01,8.343314947702240580e-02
1.305971443510982044e-01,7.769010329323843000e-02,6.317417016750318526e-01,1.519461743862714209e-02,1.423905566334724426e-01,2.032571621239185333e-01,2.630000412464141846e-01,2.962088662423618679e-01,2.397865789317450425e-01,2.988534366809904586e-01,2.988534366809904586e-01,2.397865789317450425e-01
1.184968109984910617e-01,7.791704321421315249e-02,6.239699865471625140e-01,1.566133555810354447e-02,1.058199927210807800e-01,2.002200223505496979e-01,4.600000381469726562e-02,1.094192146311955827e-01,2.036010428730835042e-01,6.518496039975141265e-02,2.036010428730835042e-01,6.518496039975141265e-02
1.164405718840636206e-01,7.693014191027912341e-02,6.274910594178012557e-01,1.580966338701104285e-02,1.051397323608398438e-01,2.002200223505496979e-01,4.600000381469726562e-02,1.092817793385437997e-01,2.039912600777003537e-01,6.610090976022486853e-02,2.039912600777003537e-01,6.610090976022486853e-02
1.355229494628901743e-01,8.120486766698127579e-02,6.255443243320698565e-01,1.518345639368542596e-02,1.166157461702823639e-01,2.017412669956684113e-01,5.599999427795410156e-02,1.419945349911932719e-01,2.195415508547912120e-01,8.623079142487222182e-02,2.195415508547912120e-01,8.623079142487222182e-02
1.340817713892589191e-01,7.741916348569842510e-02,6.233296245024644300e-01,1.513434899103109632e-02,1.171415485441684723e-01,2.021436132490634918e-01,5.599999427795410156e-02,1.413455134786654188e-01,2.177428098076736318e-01,8.721294542847968234e-02,2.177428098076736318e-01,8.721294542847968234e-02
1.213440489484248486e-01,7.743428015513459384e-02,6.253533717669554903e-01,1.521679279983431839e-02,7.788712903857231140e-02,1.975615099072456360e-01,2.650000154972076416e-01,1.261587777904517871e-01,2.417979578173506394e-01,2.877449358955405656e-01,2.877449358955405656e-01,1.261587777904517871e-01
1.323070277799459071e-01,7.787522099429677880e-02,6.235325719310707004e-01,1.513708703692976006e-02,7.788712903857231140e-02,1.975615099072456360e-01,2.640000283718109131e-01,1.806693040113226956e-01,2.311894050504892384e-01,2.813392106479875587e-01,2.813392106479875587e-01,1.806693040113226956e-01
1.241969540443517428e-01,8.153257080326478667e-02,6.216904298406736862e-01,1.541708650214129207e-02,1.242399066686630249e-01,2.026738896965980530e-01,2.640000283718109131e-01,2.820503994515579649e-01,2.325807266768010195e-01,2.964755081741026199e-01,2.964755081741026199e-01,2.325807266768010195e-01
1.201933266919186644e-01,8.217088963233994126e-02,6.294049939987947928e-01,1.541867729507310700e-02,1.236380897462368011e-01,2.026738896965980530e-01,2.640000283718109131e-01,1.785828177857561594e-01,2.521214936778336524e-01,2.997189972982697848e-01,2.997189972982697848e-01,1.785828177857561594e-01
1.135389384887797309e-01,8.103505416943949935e-02,6.329241473459009670e-01,1.543054069595341769e-02,7.822496443986892700e-02,1.979547664523124695e-01,2.640000283718109131e-01,1.303189261390116926e-01,2.457479922842985554e-01,2.888163532017601343e-01,2.888163532017601343e-01,1.303189261390116926e-01
1.181271871949265695e-01,8.292809320314603605e-02,6.308349377457068696e-01,1.530865564938019632e-02,7.824811432510614395e-02,1.979547664523124695e-01,2.640000283718109131e-01,1.234860162783843612e-01,2.403885318598394105e-01,2.869535937964924899e-01,2.869535937964924899e-01,1.234860162783843612e-01
1.313193258708749422e-01,7.637678042246189014e-02,6.197611264071338777e-01,1.495585438015059783e-02,1.172152459621429443e-01,2.038536891341209412e-01,5.200001597404479980e-02,1.438150462860088574e-01,2.219964368121682963e-01,8.196683165501983392e-02,2.219964368121682963e-01,8.196683165501983392e-02
1.300927904856109818e-01,7.806679583477547923e-02,6.240257985557552400e-01,1.506650213301176031e-02,1.171049699187278748e-01,2.037593759596347809e-01,5.200001597404479980e-02,1.430210544348149981e-01,2.208316316336192686e-01,8.700358976044841874e-02,2.208316316336192686e-01,8.700358976044841874e-02
